 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000001E-009
 steps=        10000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    2000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    4.9900000000E-07    7.4769425757E-02    3.0772542129E+00    6.4121356842E+00    1.3090608921E+00
    9.9900000000E-07    7.4768848216E-02    3.0770079858E+00    6.4128727533E+00    1.3090255678E+00
    1.4990000000E-06    7.4768268525E-02    3.0767618115E+00    6.4136097323E+00    1.3089900762E+00
    1.9990000000E-06    7.4767686686E-02    3.0765156902E+00    6.4143466211E+00    1.3089544173E+00
    2.4990000000E-06    7.4767102699E-02    3.0762696221E+00    6.4150834192E+00    1.3089185913E+00
    2.9990000000E-06    7.4766516564E-02    3.0760236074E+00    6.4158201264E+00    1.3088825984E+00
    3.4990000000E-06    7.4765928281E-02    3.0757776464E+00    6.4165567423E+00    1.3088464387E+00
    3.9990000000E-06    7.4765337851E-02    3.0755317392E+00    6.4172932666E+00    1.3088101123E+00
    4.4990000000E-06    7.4764745274E-02    3.0752858860E+00    6.4180296990E+00    1.3087736194E+00
    4.9990000000E-06    7.4764150550E-02    3.0750400870E+00    6.4187660392E+00    1.3087369601E+00
    5.4990000000E-06    7.4763553680E-02    3.0747943425E+00    6.4195022868E+00    1.3087001346E+00
    5.9990000000E-06    7.4762954665E-02    3.0745486526E+00    6.4202384415E+00    1.3086631430E+00
    6.4990000000E-06    7.4762353504E-02    3.0743030176E+00    6.4209745030E+00    1.3086259855E+00
    6.9990000000E-06    7.4761750198E-02    3.0740574376E+00    6.4217104709E+00    1.3085886622E+00
    7.4990000000E-06    7.4761144747E-02    3.0738119128E+00    6.4224463450E+00    1.3085511732E+00
    7.9990000000E-06    7.4760537152E-02    3.0735664435E+00    6.4231821248E+00    1.3085135187E+00
    8.4990000000E-06    7.4759927413E-02    3.0733210298E+00    6.4239178102E+00    1.3084756989E+00
    8.9990000000E-06    7.4759315530E-02    3.0730756720E+00    6.4246534007E+00    1.3084377138E+00
    9.4990000000E-06    7.4758701505E-02    3.0728303702E+00    6.4253888960E+00    1.3083995637E+00
    9.9990000000E-06    7.4758085336E-02    3.0725851246E+00    6.4261242958E+00    1.3083612488E+00
