 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.0999999999999994E-002   0.3140000000000000      
    3.112040000000000     
 u=    4000.000000000000     
 v_perp=    10000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    6.5898037402E-01   -3.4685718156E-02    3.1147153781E+00    7.0999494601E-02
    9.9000000000E-07    6.5894543941E-01   -3.4125010012E-02    3.1174451366E+00    7.0998981685E-02
    1.4900000000E-06    6.5891126688E-01   -3.3564246078E-02    3.1201746714E+00    7.0998471594E-02
    1.9900000000E-06    6.5887785636E-01   -3.3003427706E-02    3.1229039806E+00    7.0997964328E-02
    2.4900000000E-06    6.5884520780E-01   -3.2442556243E-02    3.1256330619E+00    7.0997459888E-02
    2.9900000000E-06    6.5881332111E-01   -3.1881633039E-02    3.1283619131E+00    7.0996958273E-02
    3.4900000000E-06    6.5878219624E-01   -3.1320659442E-02    3.1310905322E+00    7.0996459485E-02
    3.9900000000E-06    6.5875183310E-01   -3.0759636800E-02    3.1338189169E+00    7.0995963523E-02
    4.4900000000E-06    6.5872223162E-01   -3.0198566460E-02    3.1365470653E+00    7.0995470388E-02
    4.9900000000E-06    6.5869339173E-01   -2.9637449769E-02    3.1392749750E+00    7.0994980080E-02
    5.4900000000E-06    6.5866531335E-01   -2.9076288074E-02    3.1420026440E+00    7.0994492599E-02
    5.9900000000E-06    6.5863799639E-01   -2.8515082721E-02    3.1447300702E+00    7.0994007947E-02
    6.4900000000E-06    6.5861144078E-01   -2.7953835056E-02    3.1474572515E+00    7.0993526123E-02
    6.9900000000E-06    6.5858564644E-01   -2.7392546425E-02    3.1501841857E+00    7.0993047128E-02
    7.4900000000E-06    6.5856061328E-01   -2.6831218173E-02    3.1529108707E+00    7.0992570963E-02
    7.9900000000E-06    6.5853634122E-01   -2.6269851646E-02    3.1556373044E+00    7.0992097627E-02
    8.4900000000E-06    6.5851283017E-01   -2.5708448186E-02    3.1583634846E+00    7.0991627122E-02
    8.9900000000E-06    6.5849008003E-01   -2.5147009140E-02    3.1610894094E+00    7.0991159447E-02
    9.4900000000E-06    6.5846809073E-01   -2.4585535850E-02    3.1638150766E+00    7.0990694604E-02
    9.9900000000E-06    6.5844686216E-01   -2.4024029662E-02    3.1665404841E+00    7.0990232593E-02
    1.0490000000E-05    6.5842639424E-01   -2.3462491918E-02    3.1692656299E+00    7.0989773414E-02
