 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000001E-009
 steps=       500000
 x0=   7.4800000000000005E-002    3.080000000000000      
    6.410000000000000     
 u=    20000.00000000000     
 v_perp=    200000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    4.9900000000E-07    7.4745384043E-02    3.0808311332E+00    6.4176597228E+00    1.3090197572E+00
    9.9900000000E-07    7.4691663241E-02    3.0816702302E+00    6.4253258714E+00    1.3087685611E+00
    1.4990000000E-06    7.4638951079E-02    3.0825155640E+00    6.4329832578E+00    1.3085106336E+00
    1.9990000000E-06    7.4587250432E-02    3.0833670616E+00    6.4406320542E+00    1.3082460288E+00
    2.4990000000E-06    7.4536564018E-02    3.0842246430E+00    6.4482724338E+00    1.3079748004E+00
    2.9990000000E-06    7.4486894401E-02    3.0850882224E+00    6.4559045711E+00    1.3076970007E+00
    3.4990000000E-06    7.4438243990E-02    3.0859577079E+00    6.4635286415E+00    1.3074126812E+00
    3.9990000000E-06    7.4390615041E-02    3.0868330029E+00    6.4711448221E+00    1.3071218925E+00
    4.4990000000E-06    7.4344009665E-02    3.0877140110E+00    6.4787532914E+00    1.3068246842E+00
    4.9990000000E-06    7.4298429840E-02    3.0886006381E+00    6.4863542300E+00    1.3065211055E+00
    5.4990000000E-06    7.4253877418E-02    3.0894927897E+00    6.4939478203E+00    1.3062112047E+00
    5.9990000000E-06    7.4210354135E-02    3.0903903715E+00    6.5015342464E+00    1.3058950293E+00
    6.4990000000E-06    7.4167861616E-02    3.0912932891E+00    6.5091136941E+00    1.3055726259E+00
    6.9990000000E-06    7.4126401387E-02    3.0922014482E+00    6.5166863507E+00    1.3052440406E+00
    7.4990000000E-06    7.4085974877E-02    3.0931147538E+00    6.5242524054E+00    1.3049093186E+00
    7.9990000000E-06    7.4046583427E-02    3.0940331113E+00    6.5318120490E+00    1.3045685041E+00
    8.4990000000E-06    7.4008228303E-02    3.0949564262E+00    6.5393654737E+00    1.3042216408E+00
    8.9990000000E-06    7.3970910693E-02    3.0958846034E+00    6.5469128735E+00    1.3038687715E+00
    9.4990000000E-06    7.3934631724E-02    3.0968175471E+00    6.5544544437E+00    1.3035099382E+00
    9.9990000000E-06    7.3899392462E-02    3.0977551605E+00    6.5619903809E+00    1.3031451819E+00
    1.0499000000E-05    7.3865193920E-02    3.0986973455E+00    6.5695208830E+00    1.3027745430E+00
    1.0999000000E-05    7.3832037066E-02    3.0996440032E+00    6.5770461495E+00    1.3023980608E+00
    1.1499000000E-05    7.3799922827E-02    3.1005950334E+00    6.5845663806E+00    1.3020157739E+00
    1.1999000000E-05    7.3768852096E-02    3.1015503343E+00    6.5920817781E+00    1.3016277201E+00
    1.2499000000E-05    7.3738825737E-02    3.1025098032E+00    6.5995925444E+00    1.3012339361E+00
    1.2999000000E-05    7.3709844589E-02    3.1034733336E+00    6.6070988831E+00    1.3008344578E+00
    1.3499000000E-05    7.3681909470E-02    3.1044408136E+00    6.6146009981E+00    1.3004293200E+00
    1.3999000000E-05    7.3655021177E-02    3.1054121307E+00    6.6220990943E+00    1.3000185564E+00
    1.4499000000E-05    7.3629180494E-02    3.1063871723E+00    6.6295933776E+00    1.2996022003E+00
    1.4999000000E-05    7.3604388196E-02    3.1073658259E+00    6.6370840546E+00    1.2991802838E+00
    1.5499000000E-05    7.3580645055E-02    3.1083479791E+00    6.6445713328E+00    1.2987528387E+00
    1.5999000000E-05    7.3557951846E-02    3.1093335199E+00    6.6520554203E+00    1.2983198956E+00
    1.6499000000E-05    7.3536309347E-02    3.1103223364E+00    6.6595365259E+00    1.2978814847E+00
    1.6999000000E-05    7.3515718348E-02    3.1113143170E+00    6.6670148590E+00    1.2974376354E+00
    1.7499000000E-05    7.3496179655E-02    3.1123093503E+00    6.6744906294E+00    1.2969883764E+00
    1.7999000000E-05    7.3477694088E-02    3.1133073250E+00    6.6819640473E+00    1.2965337357E+00
    1.8499000000E-05    7.3460262489E-02    3.1143081299E+00    6.6894353234E+00    1.2960737407E+00
    1.8999000000E-05    7.3443885720E-02    3.1153116539E+00    6.6969046683E+00    1.2956084179E+00
    1.9499000000E-05    7.3428564669E-02    3.1163177855E+00    6.7043722932E+00    1.2951377934E+00
    1.9999000000E-05    7.3414300249E-02    3.1173264133E+00    6.7118384090E+00    1.2946618925E+00
    2.0499000000E-05    7.3401093396E-02    3.1183374252E+00    6.7193032268E+00    1.2941807398E+00
    2.0999000000E-05    7.3388945074E-02    3.1193507088E+00    6.7267669576E+00    1.2936943595E+00
    2.1499000000E-05    7.3377856273E-02    3.1203661513E+00    6.7342298124E+00    1.2932027748E+00
    2.1999000000E-05    7.3367828004E-02    3.1213836384E+00    6.7416920017E+00    1.2927060085E+00
    2.2499000000E-05    7.3358861303E-02    3.1224030554E+00    6.7491537361E+00    1.2922040827E+00
    2.2999000000E-05    7.3350957224E-02    3.1234242859E+00    6.7566152255E+00    1.2916970188E+00
    2.3499000000E-05    7.3344116840E-02    3.1244472130E+00    6.7640766796E+00    1.2911848374E+00
    2.3999000000E-05    7.3338341236E-02    3.1254717184E+00    6.7715383077E+00    1.2906675588E+00
    2.4499000000E-05    7.3333631509E-02    3.1264976828E+00    6.7790003187E+00    1.2901452025E+00
    2.4999000000E-05    7.3329988763E-02    3.1275249858E+00    6.7864629210E+00    1.2896177873E+00
    2.5499000000E-05    7.3327414103E-02    3.1285535061E+00    6.7939263222E+00    1.2890853316E+00
    2.5999000000E-05    7.3325908632E-02    3.1295831212E+00    6.8013907297E+00    1.2885478531E+00
    2.6499000000E-05    7.3325473444E-02    3.1306137075E+00    6.8088563502E+00    1.2880053688E+00
    2.6999000000E-05    7.3326109623E-02    3.1316451408E+00    6.8163233899E+00    1.2874578954E+00
    2.7499000000E-05    7.3327818232E-02    3.1326772956E+00    6.8237920543E+00    1.2869054488E+00
    2.7999000000E-05    7.3330600309E-02    3.1337100458E+00    6.8312625485E+00    1.2863480445E+00
    2.8499000000E-05    7.3334456862E-02    3.1347432643E+00    6.8387350767E+00    1.2857856973E+00
    2.8999000000E-05    7.3339388864E-02    3.1357768233E+00    6.8462098427E+00    1.2852184217E+00
    2.9499000000E-05    7.3345397240E-02    3.1368105945E+00    6.8536870499E+00    1.2846462314E+00
    2.9999000000E-05    7.3352482866E-02    3.1378444489E+00    6.8611669008E+00    1.2840691400E+00
    3.0499000000E-05    7.3360646563E-02    3.1388782571E+00    6.8686495977E+00    1.2834871602E+00
    3.0999000000E-05    7.3369889083E-02    3.1399118894E+00    6.8761353421E+00    1.2829003046E+00
    3.1499000000E-05    7.3380211110E-02    3.1409452155E+00    6.8836243351E+00    1.2823085849E+00
    3.1999000000E-05    7.3391613249E-02    3.1419781056E+00    6.8911167775E+00    1.2817120129E+00
    3.2499000000E-05    7.3404096018E-02    3.1430104293E+00    6.8986128695E+00    1.2811105995E+00
    3.2999000000E-05    7.3417659844E-02    3.1440420568E+00    6.9061128111E+00    1.2805043554E+00
