 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000001E-009
 steps=      5000000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    2000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    4.9900000000E-07    7.4769425757E-02    3.0772542129E+00    6.4121356842E+00    1.3090608921E+00
    9.9900000000E-07    7.4768848216E-02    3.0770079858E+00    6.4128727533E+00    1.3090255678E+00
    1.4990000000E-06    7.4768268525E-02    3.0767618115E+00    6.4136097323E+00    1.3089900762E+00
    1.9990000000E-06    7.4767686686E-02    3.0765156902E+00    6.4143466211E+00    1.3089544173E+00
    2.4990000000E-06    7.4767102699E-02    3.0762696221E+00    6.4150834192E+00    1.3089185913E+00
    2.9990000000E-06    7.4766516564E-02    3.0760236074E+00    6.4158201264E+00    1.3088825984E+00
    3.4990000000E-06    7.4765928281E-02    3.0757776464E+00    6.4165567423E+00    1.3088464387E+00
    3.9990000000E-06    7.4765337851E-02    3.0755317392E+00    6.4172932666E+00    1.3088101123E+00
    4.4990000000E-06    7.4764745274E-02    3.0752858860E+00    6.4180296990E+00    1.3087736194E+00
    4.9990000000E-06    7.4764150550E-02    3.0750400870E+00    6.4187660392E+00    1.3087369601E+00
    5.4990000000E-06    7.4763553680E-02    3.0747943425E+00    6.4195022868E+00    1.3087001346E+00
    5.9990000000E-06    7.4762954665E-02    3.0745486526E+00    6.4202384415E+00    1.3086631430E+00
    6.4990000000E-06    7.4762353504E-02    3.0743030176E+00    6.4209745030E+00    1.3086259855E+00
    6.9990000000E-06    7.4761750198E-02    3.0740574376E+00    6.4217104709E+00    1.3085886622E+00
    7.4990000000E-06    7.4761144747E-02    3.0738119128E+00    6.4224463450E+00    1.3085511732E+00
    7.9990000000E-06    7.4760537152E-02    3.0735664435E+00    6.4231821248E+00    1.3085135187E+00
    8.4990000000E-06    7.4759927413E-02    3.0733210298E+00    6.4239178102E+00    1.3084756989E+00
    8.9990000000E-06    7.4759315530E-02    3.0730756720E+00    6.4246534007E+00    1.3084377138E+00
    9.4990000000E-06    7.4758701505E-02    3.0728303702E+00    6.4253888960E+00    1.3083995637E+00
    9.9990000000E-06    7.4758085336E-02    3.0725851246E+00    6.4261242958E+00    1.3083612488E+00
    1.0499000000E-05    7.4757467025E-02    3.0723399355E+00    6.4268595998E+00    1.3083227690E+00
    1.0999000000E-05    7.4756846572E-02    3.0720948031E+00    6.4275948077E+00    1.3082841247E+00
    1.1499000000E-05    7.4756223977E-02    3.0718497275E+00    6.4283299190E+00    1.3082453159E+00
    1.1999000000E-05    7.4755599242E-02    3.0716047089E+00    6.4290649336E+00    1.3082063428E+00
    1.2499000000E-05    7.4754972365E-02    3.0713597476E+00    6.4297998511E+00    1.3081672055E+00
    1.2999000000E-05    7.4754343347E-02    3.0711148437E+00    6.4305346711E+00    1.3081279043E+00
    1.3499000000E-05    7.4753712190E-02    3.0708699975E+00    6.4312693933E+00    1.3080884392E+00
    1.3999000000E-05    7.4753078892E-02    3.0706252091E+00    6.4320040175E+00    1.3080488104E+00
    1.4499000000E-05    7.4752443456E-02    3.0703804788E+00    6.4327385432E+00    1.3080090181E+00
    1.4999000000E-05    7.4751805880E-02    3.0701358067E+00    6.4334729702E+00    1.3079690624E+00
    1.5499000000E-05    7.4751166166E-02    3.0698911930E+00    6.4342072981E+00    1.3079289435E+00
    1.5999000000E-05    7.4750524314E-02    3.0696466380E+00    6.4349415266E+00    1.3078886615E+00
    1.6499000000E-05    7.4749880324E-02    3.0694021418E+00    6.4356756554E+00    1.3078482166E+00
    1.6999000000E-05    7.4749234197E-02    3.0691577047E+00    6.4364096842E+00    1.3078076090E+00
    1.7499000000E-05    7.4748585932E-02    3.0689133267E+00    6.4371436125E+00    1.3077668387E+00
    1.7999000000E-05    7.4747935531E-02    3.0686690082E+00    6.4378774402E+00    1.3077259060E+00
    1.8499000000E-05    7.4747282994E-02    3.0684247493E+00    6.4386111669E+00    1.3076848111E+00
    1.8999000000E-05    7.4746628321E-02    3.0681805503E+00    6.4393447922E+00    1.3076435540E+00
    1.9499000000E-05    7.4745971513E-02    3.0679364112E+00    6.4400783159E+00    1.3076021349E+00
    1.9999000000E-05    7.4745312570E-02    3.0676923323E+00    6.4408117376E+00    1.3075605541E+00
    2.0499000000E-05    7.4744651493E-02    3.0674483139E+00    6.4415450570E+00    1.3075188116E+00
    2.0999000000E-05    7.4743988281E-02    3.0672043561E+00    6.4422782737E+00    1.3074769076E+00
    2.1499000000E-05    7.4743322935E-02    3.0669604590E+00    6.4430113874E+00    1.3074348423E+00
    2.1999000000E-05    7.4742655457E-02    3.0667166230E+00    6.4437443979E+00    1.3073926158E+00
    2.2499000000E-05    7.4741985845E-02    3.0664728481E+00    6.4444773048E+00    1.3073502284E+00
    2.2999000000E-05    7.4741314101E-02    3.0662291346E+00    6.4452101077E+00    1.3073076801E+00
    2.3499000000E-05    7.4740640225E-02    3.0659854827E+00    6.4459428064E+00    1.3072649711E+00
    2.3999000000E-05    7.4739964217E-02    3.0657418926E+00    6.4466754005E+00    1.3072221017E+00
    2.4499000000E-05    7.4739286078E-02    3.0654983644E+00    6.4474078897E+00    1.3071790719E+00
    2.4999000000E-05    7.4738605809E-02    3.0652548984E+00    6.4481402737E+00    1.3071358819E+00
    2.5499000000E-05    7.4737923409E-02    3.0650114947E+00    6.4488725521E+00    1.3070925319E+00
    2.5999000000E-05    7.4737238879E-02    3.0647681536E+00    6.4496047246E+00    1.3070490221E+00
    2.6499000000E-05    7.4736552220E-02    3.0645248753E+00    6.4503367910E+00    1.3070053526E+00
    2.6999000000E-05    7.4735863431E-02    3.0642816598E+00    6.4510687508E+00    1.3069615235E+00
    2.7499000000E-05    7.4735172514E-02    3.0640385075E+00    6.4518006038E+00    1.3069175352E+00
    2.7999000000E-05    7.4734479469E-02    3.0637954185E+00    6.4525323496E+00    1.3068733876E+00
    2.8499000000E-05    7.4733784296E-02    3.0635523930E+00    6.4532639879E+00    1.3068290811E+00
    2.8999000000E-05    7.4733086996E-02    3.0633094312E+00    6.4539955184E+00    1.3067846157E+00
    2.9499000000E-05    7.4732387569E-02    3.0630665332E+00    6.4547269407E+00    1.3067399916E+00
    2.9999000000E-05    7.4731686015E-02    3.0628236994E+00    6.4554582546E+00    1.3066952091E+00
    3.0499000000E-05    7.4730982335E-02    3.0625809299E+00    6.4561894597E+00    1.3066502682E+00
    3.0999000000E-05    7.4730276530E-02    3.0623382248E+00    6.4569205557E+00    1.3066051691E+00
    3.1499000000E-05    7.4729568600E-02    3.0620955843E+00    6.4576515423E+00    1.3065599121E+00
    3.1999000000E-05    7.4728858545E-02    3.0618530087E+00    6.4583824191E+00    1.3065144972E+00
    3.2499000000E-05    7.4728146366E-02    3.0616104982E+00    6.4591131858E+00    1.3064689247E+00
    3.2999000000E-05    7.4727432063E-02    3.0613680528E+00    6.4598438421E+00    1.3064231948E+00
    3.3499000000E-05    7.4726715637E-02    3.0611256729E+00    6.4605743877E+00    1.3063773075E+00
    3.3999000000E-05    7.4725997088E-02    3.0608833586E+00    6.4613048223E+00    1.3063312631E+00
    3.4499000000E-05    7.4725276416E-02    3.0606411101E+00    6.4620351455E+00    1.3062850618E+00
    3.4999000000E-05    7.4724553623E-02    3.0603989275E+00    6.4627653570E+00    1.3062387037E+00
    3.5499000000E-05    7.4723828708E-02    3.0601568112E+00    6.4634954564E+00    1.3061921890E+00
    3.5999000000E-05    7.4723101672E-02    3.0599147612E+00    6.4642254436E+00    1.3061455178E+00
    3.6499000000E-05    7.4722372516E-02    3.0596727777E+00    6.4649553181E+00    1.3060986904E+00
    3.6999000000E-05    7.4721641239E-02    3.0594308610E+00    6.4656850796E+00    1.3060517070E+00
    3.7499000000E-05    7.4720907843E-02    3.0591890112E+00    6.4664147277E+00    1.3060045676E+00
    3.7999000000E-05    7.4720172327E-02    3.0589472285E+00    6.4671442623E+00    1.3059572725E+00
    3.8499000000E-05    7.4719434693E-02    3.0587055131E+00    6.4678736829E+00    1.3059098219E+00
    3.8999000000E-05    7.4718694941E-02    3.0584638652E+00    6.4686029893E+00    1.3058622160E+00
    3.9499000000E-05    7.4717953071E-02    3.0582222849E+00    6.4693321810E+00    1.3058144548E+00
    3.9999000000E-05    7.4717209083E-02    3.0579807725E+00    6.4700612578E+00    1.3057665386E+00
    4.0499000000E-05    7.4716462979E-02    3.0577393282E+00    6.4707902194E+00    1.3057184676E+00
    4.0999000000E-05    7.4715714758E-02    3.0574979521E+00    6.4715190654E+00    1.3056702420E+00
    4.1499000000E-05    7.4714964422E-02    3.0572566444E+00    6.4722477955E+00    1.3056218619E+00
    4.1999000000E-05    7.4714211970E-02    3.0570154053E+00    6.4729764095E+00    1.3055733275E+00
    4.2499000000E-05    7.4713457403E-02    3.0567742350E+00    6.4737049069E+00    1.3055246391E+00
    4.2999000000E-05    7.4712700722E-02    3.0565331336E+00    6.4744332874E+00    1.3054757967E+00
    4.3499000000E-05    7.4711941927E-02    3.0562921014E+00    6.4751615508E+00    1.3054268005E+00
    4.3999000000E-05    7.4711181018E-02    3.0560511386E+00    6.4758896967E+00    1.3053776508E+00
    4.4499000000E-05    7.4710417997E-02    3.0558102453E+00    6.4766177247E+00    1.3053283478E+00
    4.4999000000E-05    7.4709652863E-02    3.0555694216E+00    6.4773456347E+00    1.3052788915E+00
    4.5499000000E-05    7.4708885617E-02    3.0553286679E+00    6.4780734261E+00    1.3052292823E+00
    4.5999000000E-05    7.4708116259E-02    3.0550879843E+00    6.4788010988E+00    1.3051795202E+00
    4.6499000000E-05    7.4707344791E-02    3.0548473709E+00    6.4795286524E+00    1.3051296055E+00
    4.6999000000E-05    7.4706571211E-02    3.0546068279E+00    6.4802560865E+00    1.3050795384E+00
    4.7499000000E-05    7.4705795522E-02    3.0543663556E+00    6.4809834009E+00    1.3050293190E+00
    4.7999000000E-05    7.4705017724E-02    3.0541259540E+00    6.4817105953E+00    1.3049789475E+00
    4.8499000000E-05    7.4704237816E-02    3.0538856235E+00    6.4824376692E+00    1.3049284241E+00
    4.8999000000E-05    7.4703455800E-02    3.0536453641E+00    6.4831646225E+00    1.3048777490E+00
    4.9499000000E-05    7.4702671676E-02    3.0534051761E+00    6.4838914547E+00    1.3048269224E+00
    4.9999000000E-05    7.4701885444E-02    3.0531650596E+00    6.4846181655E+00    1.3047759445E+00
    5.0499000000E-05    7.4701097106E-02    3.0529250148E+00    6.4853447547E+00    1.3047248155E+00
    5.0999000000E-05    7.4700306661E-02    3.0526850419E+00    6.4860712218E+00    1.3046735355E+00
    5.1499000000E-05    7.4699514110E-02    3.0524451411E+00    6.4867975667E+00    1.3046221047E+00
    5.1999000000E-05    7.4698719453E-02    3.0522053126E+00    6.4875237889E+00    1.3045705234E+00
    5.2499000000E-05    7.4697922691E-02    3.0519655564E+00    6.4882498882E+00    1.3045187917E+00
    5.2999000000E-05    7.4697123826E-02    3.0517258729E+00    6.4889758641E+00    1.3044669098E+00
    5.3499000000E-05    7.4696322856E-02    3.0514862622E+00    6.4897017165E+00    1.3044148779E+00
    5.3999000000E-05    7.4695519783E-02    3.0512467245E+00    6.4904274450E+00    1.3043626962E+00
    5.4499000000E-05    7.4694714606E-02    3.0510072599E+00    6.4911530492E+00    1.3043103649E+00
    5.4999000000E-05    7.4693907328E-02    3.0507678686E+00    6.4918785288E+00    1.3042578842E+00
    5.5499000000E-05    7.4693097948E-02    3.0505285508E+00    6.4926038835E+00    1.3042052542E+00
    5.5999000000E-05    7.4692286466E-02    3.0502893068E+00    6.4933291131E+00    1.3041524752E+00
    5.6499000000E-05    7.4691472884E-02    3.0500501366E+00    6.4940542171E+00    1.3040995474E+00
    5.6999000000E-05    7.4690657201E-02    3.0498110404E+00    6.4947791952E+00    1.3040464709E+00
    5.7499000000E-05    7.4689839419E-02    3.0495720184E+00    6.4955040472E+00    1.3039932460E+00
    5.7999000000E-05    7.4689019538E-02    3.0493330709E+00    6.4962287727E+00    1.3039398728E+00
    5.8499000000E-05    7.4688197558E-02    3.0490941979E+00    6.4969533714E+00    1.3038863515E+00
    5.8999000000E-05    7.4687373479E-02    3.0488553997E+00    6.4976778430E+00    1.3038326824E+00
    5.9499000000E-05    7.4686547304E-02    3.0486166764E+00    6.4984021871E+00    1.3037788656E+00
    5.9999000000E-05    7.4685719031E-02    3.0483780282E+00    6.4991264034E+00    1.3037249013E+00
    6.0499000000E-05    7.4684888662E-02    3.0481394552E+00    6.4998504917E+00    1.3036707898E+00
    6.0999000000E-05    7.4684056196E-02    3.0479009578E+00    6.5005744515E+00    1.3036165312E+00
    6.1499000000E-05    7.4683221636E-02    3.0476625359E+00    6.5012982826E+00    1.3035621257E+00
    6.1999000000E-05    7.4682384980E-02    3.0474241899E+00    6.5020219846E+00    1.3035075735E+00
    6.2499000000E-05    7.4681546231E-02    3.0471859198E+00    6.5027455573E+00    1.3034528748E+00
    6.2999000000E-05    7.4680705387E-02    3.0469477259E+00    6.5034690003E+00    1.3033980299E+00
    6.3499000000E-05    7.4679862450E-02    3.0467096083E+00    6.5041923132E+00    1.3033430388E+00
    6.3999000000E-05    7.4679017421E-02    3.0464715672E+00    6.5049154958E+00    1.3032879019E+00
    6.4499000000E-05    7.4678170300E-02    3.0462336028E+00    6.5056385478E+00    1.3032326193E+00
    6.4999000000E-05    7.4677321087E-02    3.0459957153E+00    6.5063614688E+00    1.3031771912E+00
    6.5499000000E-05    7.4676469783E-02    3.0457579047E+00    6.5070842585E+00    1.3031216178E+00
    6.5999000000E-05    7.4675616388E-02    3.0455201714E+00    6.5078069166E+00    1.3030658993E+00
    6.6499000000E-05    7.4674760904E-02    3.0452825154E+00    6.5085294427E+00    1.3030100359E+00
    6.6999000000E-05    7.4673903331E-02    3.0450449369E+00    6.5092518366E+00    1.3029540279E+00
    6.7499000000E-05    7.4673043669E-02    3.0448074362E+00    6.5099740979E+00    1.3028978754E+00
    6.7999000000E-05    7.4672181918E-02    3.0445700133E+00    6.5106962263E+00    1.3028415786E+00
    6.8499000000E-05    7.4671318080E-02    3.0443326685E+00    6.5114182216E+00    1.3027851377E+00
    6.8999000000E-05    7.4670452155E-02    3.0440954019E+00    6.5121400832E+00    1.3027285530E+00
    6.9499000000E-05    7.4669584144E-02    3.0438582137E+00    6.5128618110E+00    1.3026718246E+00
    6.9999000000E-05    7.4668714047E-02    3.0436211041E+00    6.5135834047E+00    1.3026149527E+00
    7.0499000000E-05    7.4667841864E-02    3.0433840732E+00    6.5143048638E+00    1.3025579376E+00
    7.0999000000E-05    7.4666967597E-02    3.0431471212E+00    6.5150261882E+00    1.3025007794E+00
    7.1499000000E-05    7.4666091246E-02    3.0429102483E+00    6.5157473774E+00    1.3024434784E+00
    7.1999000000E-05    7.4665212811E-02    3.0426734546E+00    6.5164684312E+00    1.3023860348E+00
    7.2499000000E-05    7.4664332293E-02    3.0424367404E+00    6.5171893492E+00    1.3023284487E+00
    7.2999000000E-05    7.4663449693E-02    3.0422001057E+00    6.5179101311E+00    1.3022707204E+00
    7.3499000000E-05    7.4662565011E-02    3.0419635508E+00    6.5186307765E+00    1.3022128500E+00
    7.3999000000E-05    7.4661678248E-02    3.0417270758E+00    6.5193512853E+00    1.3021548379E+00
    7.4499000000E-05    7.4660789404E-02    3.0414906809E+00    6.5200716570E+00    1.3020966842E+00
    7.4999000000E-05    7.4659898480E-02    3.0412543662E+00    6.5207918914E+00    1.3020383890E+00
    7.5499000000E-05    7.4659005477E-02    3.0410181320E+00    6.5215119880E+00    1.3019799527E+00
    7.5999000000E-05    7.4658110395E-02    3.0407819783E+00    6.5222319467E+00    1.3019213754E+00
    7.6499000000E-05    7.4657213234E-02    3.0405459055E+00    6.5229517670E+00    1.3018626573E+00
    7.6999000000E-05    7.4656313996E-02    3.0403099135E+00    6.5236714487E+00    1.3018037987E+00
    7.7499000000E-05    7.4655412681E-02    3.0400740026E+00    6.5243909914E+00    1.3017447997E+00
    7.7999000000E-05    7.4654509290E-02    3.0398381730E+00    6.5251103949E+00    1.3016856606E+00
    7.8499000000E-05    7.4653603823E-02    3.0396024248E+00    6.5258296587E+00    1.3016263816E+00
    7.8999000000E-05    7.4652696280E-02    3.0393667582E+00    6.5265487827E+00    1.3015669628E+00
    7.9499000000E-05    7.4651786663E-02    3.0391311734E+00    6.5272677663E+00    1.3015074045E+00
    7.9999000000E-05    7.4650874972E-02    3.0388956705E+00    6.5279866095E+00    1.3014477070E+00
    8.0499000000E-05    7.4649961208E-02    3.0386602496E+00    6.5287053117E+00    1.3013878703E+00
    8.0999000000E-05    7.4649045371E-02    3.0384249110E+00    6.5294238728E+00    1.3013278948E+00
    8.1499000000E-05    7.4648127461E-02    3.0381896548E+00    6.5301422924E+00    1.3012677807E+00
    8.1999000000E-05    7.4647207480E-02    3.0379544812E+00    6.5308605701E+00    1.3012075280E+00
    8.2499000000E-05    7.4646285429E-02    3.0377193904E+00    6.5315787057E+00    1.3011471372E+00
    8.2999000000E-05    7.4645361307E-02    3.0374843824E+00    6.5322966988E+00    1.3010866083E+00
    8.3499000000E-05    7.4644435115E-02    3.0372494575E+00    6.5330145491E+00    1.3010259417E+00
    8.3999000000E-05    7.4643506854E-02    3.0370146159E+00    6.5337322563E+00    1.3009651374E+00
    8.4499000000E-05    7.4642576525E-02    3.0367798576E+00    6.5344498201E+00    1.3009041958E+00
    8.4999000000E-05    7.4641644128E-02    3.0365451829E+00    6.5351672401E+00    1.3008431170E+00
    8.5499000000E-05    7.4640709663E-02    3.0363105919E+00    6.5358845161E+00    1.3007819013E+00
    8.5999000000E-05    7.4639773133E-02    3.0360760848E+00    6.5366016477E+00    1.3007205489E+00
    8.6499000000E-05    7.4638834536E-02    3.0358416617E+00    6.5373186346E+00    1.3006590599E+00
    8.6999000000E-05    7.4637893874E-02    3.0356073228E+00    6.5380354765E+00    1.3005974347E+00
    8.7499000000E-05    7.4636951148E-02    3.0353730683E+00    6.5387521731E+00    1.3005356733E+00
    8.7999000000E-05    7.4636006357E-02    3.0351388983E+00    6.5394687240E+00    1.3004737762E+00
