 dt=   5.0000000000000004E-006
 s_ind=         126
 steps=     2000000
 zipper=        2000

istep          p0              t0              rout            zout
    2000    0.14041936E+01  0.81202360E+01  0.11606877E+01  0.16182521E+00
    4000    0.14121940E+01  0.81167952E+01  0.11597034E+01  0.16107959E+00
    6000    0.14202014E+01  0.81133776E+01  0.11587078E+01  0.16033985E+00
    8000    0.14282157E+01  0.81099831E+01  0.11577010E+01  0.15960611E+00
   10000    0.14362371E+01  0.81066116E+01  0.11566832E+01  0.15887850E+00
   12000    0.14442657E+01  0.81032629E+01  0.11556544E+01  0.15815716E+00
   14000    0.14523015E+01  0.80999370E+01  0.11546147E+01  0.15744221E+00
   16000    0.14603448E+01  0.80966337E+01  0.11535642E+01  0.15673379E+00
   18000    0.14683955E+01  0.80933528E+01  0.11525031E+01  0.15603204E+00
   20000    0.14764539E+01  0.80900942E+01  0.11514314E+01  0.15533707E+00
   22000    0.14845199E+01  0.80868577E+01  0.11503493E+01  0.15464902E+00
   24000    0.14925937E+01  0.80836433E+01  0.11492568E+01  0.15396802E+00
   26000    0.15006754E+01  0.80804506E+01  0.11481541E+01  0.15329419E+00
   28000    0.15087650E+01  0.80772795E+01  0.11470414E+01  0.15262768E+00
   30000    0.15168628E+01  0.80741298E+01  0.11459186E+01  0.15196860E+00
   32000    0.15249687E+01  0.80710014E+01  0.11447860E+01  0.15131708E+00
   34000    0.15330829E+01  0.80678939E+01  0.11436437E+01  0.15067326E+00
   36000    0.15412055E+01  0.80648072E+01  0.11424918E+01  0.15003725E+00
   38000    0.15493366E+01  0.80617411E+01  0.11413305E+01  0.14940918E+00
   40000    0.15574762E+01  0.80586953E+01  0.11401598E+01  0.14878917E+00
   42000    0.15656245E+01  0.80556696E+01  0.11389800E+01  0.14817736E+00
   44000    0.15737816E+01  0.80526637E+01  0.11377910E+01  0.14757385E+00
   46000    0.15819476E+01  0.80496774E+01  0.11365932E+01  0.14697878E+00
   48000    0.15901225E+01  0.80467104E+01  0.11353866E+01  0.14639225E+00
   50000    0.15983065E+01  0.80437625E+01  0.11341714E+01  0.14581440E+00
   52000    0.16064997E+01  0.80408334E+01  0.11329477E+01  0.14524534E+00
   54000    0.16147021E+01  0.80379228E+01  0.11317157E+01  0.14468518E+00
   56000    0.16229139E+01  0.80350304E+01  0.11304756E+01  0.14413404E+00
   58000    0.16311352E+01  0.80321559E+01  0.11292274E+01  0.14359203E+00
   60000    0.16393660E+01  0.80292992E+01  0.11279713E+01  0.14305927E+00
   62000    0.16476065E+01  0.80264597E+01  0.11267075E+01  0.14253586E+00
   64000    0.16558567E+01  0.80236374E+01  0.11254362E+01  0.14202191E+00
   66000    0.16641167E+01  0.80208317E+01  0.11241575E+01  0.14151753E+00
   68000    0.16723867E+01  0.80180425E+01  0.11228716E+01  0.14102283E+00
   70000    0.16806668E+01  0.80152694E+01  0.11215786E+01  0.14053791E+00
   72000    0.16889569E+01  0.80125121E+01  0.11202788E+01  0.14006287E+00
   74000    0.16972573E+01  0.80097703E+01  0.11189722E+01  0.13959781E+00
   76000    0.17055680E+01  0.80070436E+01  0.11176590E+01  0.13914282E+00
   78000    0.17138891E+01  0.80043317E+01  0.11163395E+01  0.13869801E+00
   80000    0.17222207E+01  0.80016343E+01  0.11150138E+01  0.13826347E+00
   82000    0.17305630E+01  0.79989511E+01  0.11136820E+01  0.13783929E+00
   84000    0.17389159E+01  0.79962816E+01  0.11123444E+01  0.13742556E+00
   86000    0.17472795E+01  0.79936256E+01  0.11110011E+01  0.13702237E+00
   88000    0.17556541E+01  0.79909827E+01  0.11096523E+01  0.13662980E+00
   90000    0.17640396E+01  0.79883526E+01  0.11082982E+01  0.13624794E+00
   92000    0.17724362E+01  0.79857349E+01  0.11069389E+01  0.13587687E+00
   94000    0.17808439E+01  0.79831293E+01  0.11055747E+01  0.13551666E+00
   96000    0.17892628E+01  0.79805354E+01  0.11042057E+01  0.13516740E+00
   98000    0.17976930E+01  0.79779528E+01  0.11028321E+01  0.13482916E+00
  100000    0.18061347E+01  0.79753813E+01  0.11014541E+01  0.13450201E+00
  102000    0.18145878E+01  0.79728204E+01  0.11000719E+01  0.13418603E+00
  104000    0.18230525E+01  0.79702698E+01  0.10986857E+01  0.13388127E+00
  106000    0.18315289E+01  0.79677291E+01  0.10972956E+01  0.13358780E+00
  108000    0.18400170E+01  0.79651980E+01  0.10959019E+01  0.13330569E+00
  110000    0.18485169E+01  0.79626761E+01  0.10945047E+01  0.13303500E+00
  112000    0.18570287E+01  0.79601631E+01  0.10931043E+01  0.13277578E+00
  114000    0.18655525E+01  0.79576586E+01  0.10917007E+01  0.13252809E+00
  116000    0.18740884E+01  0.79551622E+01  0.10902943E+01  0.13229199E+00
  118000    0.18826364E+01  0.79526736E+01  0.10888852E+01  0.13206752E+00
  120000    0.18911966E+01  0.79501924E+01  0.10874736E+01  0.13185473E+00
  122000    0.18997691E+01  0.79477183E+01  0.10860596E+01  0.13165367E+00
  124000    0.19083541E+01  0.79452509E+01  0.10846436E+01  0.13146438E+00
  126000    0.19169514E+01  0.79427898E+01  0.10832256E+01  0.13128690E+00
  128000    0.19255613E+01  0.79403348E+01  0.10818059E+01  0.13112127E+00
  130000    0.19341838E+01  0.79378853E+01  0.10803847E+01  0.13096753E+00
  132000    0.19428189E+01  0.79354412E+01  0.10789621E+01  0.13082570E+00
  134000    0.19514668E+01  0.79330020E+01  0.10775384E+01  0.13069583E+00
  136000    0.19601275E+01  0.79305674E+01  0.10761137E+01  0.13057793E+00
  138000    0.19688011E+01  0.79281370E+01  0.10746883E+01  0.13047203E+00
  140000    0.19774877E+01  0.79257105E+01  0.10732623E+01  0.13037816E+00
  142000    0.19861872E+01  0.79232875E+01  0.10718359E+01  0.13029634E+00
  144000    0.19948998E+01  0.79208678E+01  0.10704094E+01  0.13022658E+00
  146000    0.20036256E+01  0.79184508E+01  0.10689829E+01  0.13016890E+00
  148000    0.20123646E+01  0.79160364E+01  0.10675566E+01  0.13012332E+00
  150000    0.20211168E+01  0.79136242E+01  0.10661308E+01  0.13008985E+00
  152000    0.20298823E+01  0.79112137E+01  0.10647055E+01  0.13006850E+00
  154000    0.20386613E+01  0.79088048E+01  0.10632811E+01  0.13005926E+00
  156000    0.20474537E+01  0.79063970E+01  0.10618576E+01  0.13006215E+00
  158000    0.20562595E+01  0.79039901E+01  0.10604354E+01  0.13007718E+00
  160000    0.20650789E+01  0.79015836E+01  0.10590145E+01  0.13010433E+00
  162000    0.20739120E+01  0.78991773E+01  0.10575952E+01  0.13014360E+00
  164000    0.20827586E+01  0.78967708E+01  0.10561776E+01  0.13019500E+00
  166000    0.20916190E+01  0.78943638E+01  0.10547621E+01  0.13025851E+00
  168000    0.21004931E+01  0.78919560E+01  0.10533486E+01  0.13033412E+00
  170000    0.21093811E+01  0.78895470E+01  0.10519376E+01  0.13042183E+00
  172000    0.21182828E+01  0.78871366E+01  0.10505290E+01  0.13052162E+00
  174000    0.21271985E+01  0.78847244E+01  0.10491232E+01  0.13063347E+00
  176000    0.21361280E+01  0.78823101E+01  0.10477203E+01  0.13075736E+00
  178000    0.21450716E+01  0.78798934E+01  0.10463205E+01  0.13089329E+00
  180000    0.21540291E+01  0.78774739E+01  0.10449240E+01  0.13104121E+00
  182000    0.21630007E+01  0.78750514E+01  0.10435310E+01  0.13120112E+00
  184000    0.21719863E+01  0.78726256E+01  0.10421417E+01  0.13137298E+00
  186000    0.21809861E+01  0.78701960E+01  0.10407562E+01  0.13155677E+00
  188000    0.21900000E+01  0.78677625E+01  0.10393747E+01  0.13175245E+00
  190000    0.21990280E+01  0.78653247E+01  0.10379975E+01  0.13196000E+00
  192000    0.22080703E+01  0.78628823E+01  0.10366247E+01  0.13217937E+00
  194000    0.22171268E+01  0.78604350E+01  0.10352566E+01  0.13241054E+00
  196000    0.22261975E+01  0.78579825E+01  0.10338932E+01  0.13265347E+00
  198000    0.22352825E+01  0.78555245E+01  0.10325347E+01  0.13290812E+00
  200000    0.22443818E+01  0.78530606E+01  0.10311815E+01  0.13317445E+00
  202000    0.22534953E+01  0.78505907E+01  0.10298336E+01  0.13345240E+00
  204000    0.22626232E+01  0.78481143E+01  0.10284912E+01  0.13374195E+00
  206000    0.22717655E+01  0.78456312E+01  0.10271545E+01  0.13404304E+00
  208000    0.22809220E+01  0.78431411E+01  0.10258237E+01  0.13435563E+00
  210000    0.22900929E+01  0.78406437E+01  0.10244989E+01  0.13467966E+00
  212000    0.22992782E+01  0.78381387E+01  0.10231804E+01  0.13501509E+00
  214000    0.23084779E+01  0.78356257E+01  0.10218684E+01  0.13536185E+00
  216000    0.23176919E+01  0.78331045E+01  0.10205629E+01  0.13571991E+00
  218000    0.23269202E+01  0.78305748E+01  0.10192643E+01  0.13608919E+00
  220000    0.23361630E+01  0.78280363E+01  0.10179726E+01  0.13646964E+00
  222000    0.23454201E+01  0.78254887E+01  0.10166880E+01  0.13686121E+00
  224000    0.23546916E+01  0.78229317E+01  0.10154108E+01  0.13726382E+00
  226000    0.23639774E+01  0.78203649E+01  0.10141410E+01  0.13767743E+00
  228000    0.23732775E+01  0.78177882E+01  0.10128789E+01  0.13810195E+00
